1957,,,
162. Brian Jaeger (Nike Boston),3:59.47i* (2),Johnson City,27-Jan
163. Reuben Reina (Arkansas),3:58.88i (2),Ft. Worth,18-Feb
164. Bob Whelan (Kentucky),3:58.82i (3),Indianapolis,11-Mar
165. Mark Coogan (Nike Boston),3:58.81* (1),Dedham,10-Jun
166. Brad Schlapak (Northeastern),3:59.91 (2),Dedham,10-Jun
167. Greg Whiteley (Brown),3:59.15 (5),Westwood,10-Jun
168. Paul Greer (San Diego TC),3:59.79* (6),Westwood,10-Jun
,,,
1990,,,
169. Eddie Slowikowski (Loyola/Chicago),3:59.36i (1),Boston,18-Feb
170. Eric Henry (Arkansas),3:59.18i (2),Indianapolis,10-Mar
171. Jim Norris (New Balance),3:59.5* (1),Holmdel,23-Jun
,,,
1991,,,
172. Matt Taylor (Fox),3:57.84i* (2),Fayetteville,25-Jan
173. Bill Burke (Princeton),3:58.70i (1),New York,1-Feb
174. Mark Deady (Nike Indiana),3:58.65i* (1),Boston,16-Feb
175. Charles Marsala (Nike Indiana),3:58.73i* (2),Boston,16-Feb
176. Mike Michno (New Balance),3:58.94i* (3),Boston,16-Feb
177. Bill Rathbun (Boston AA),3:59.94i* (4),Boston,16-Feb
178. Bob Kennedy (Indiana),3:58.11i (1),Indianapolis,9-Mar
179. John Trautmann (Georgetown),3:58.52i (4),Indianapolis,9-Mar
180. Matt Giusto (Mizuno),3:59.18 (3),Stanford,30-Mar
181. Gerry Donakowski (Nike North),3:59.1* (4),Dedham,9-Jun
182. Terrance Herrington (Nike Atlantic),3:55.61 (8),Villeneuve-d’Ascq,1-Jul
183. Christian Cushing-Murray (SMTC),3:57.70 (10),Villeneuve-d’Ascq,1-Jul
,,,
1992,,,
184. Len Sitko (unattached),3:59.29i* (4),Birmingham,14-Mar
185. Ernie Freer (Bulldog TC),3:59.04* (1),Fresno,4-Apr
186. Steve Holman (Georgetown),3:53.31 (4),Oslo,4-Jul
187. Paul Vandegrift (William & Mary),3:59.60 (3),Belfast,31-Aug
,,,
1993,,,
188. Erik Nedeau (Northeastern),3:59.68i (1),Boston,27-Feb
189. Aaron Ramirez (Mizuno),3:59.57* (3),San Francisco,15-May
190. Jim Sorensen (Reebok),3:59.70 (4),San Francisco,15-May
191. Ronnie Harris (Sallie Mae TC),3:58.03* (5),Eugene,5-Jun
192. Bob Lesko (Sallie Mae TC),3:58.23* (6),Eugene,5-Jun
193. Danny Maas (Reebok),3:58.83* (7),Eugene,5-Jun
194. Mark Dailey (New York AC),3:57.16* (12),Oslo,10-Jul
,,,
1994,,,
195. Mark Sivieri (unattached),3:59.85i* (2),Boston,28-Jan
196. Dave Wittman (Nike Texas),3:59.28i (2),Notre Dame,5-Feb
197. Buck Jones (Club Northwest),3:57.43* (3),Eugene,4-Jun
198. Shannon Lemora (Nike Oregon),3:57.47* (4),Eugene,4-Jun
199. Benny McIntosh (Asics),3:58.25* (6),Eugene,4-Jun
200. Chris Katon (unattached),3:59.19* (9),Eugene,4-Jun
201. Jon Warren (Nike Texas),3:59.30* (10),Eugene,4-Jun
202. Jim Howarth (NikeRR),3:59.75* (12),Eugene,4-Jun
203. Shane Healy (BRC),3:59.23* (7),Cork,25-Jun
,,,
1995,,,
204. Brian Hyde (William & Mary),3:59.92i (2),Johnson City,28-Jan
205. Paul McMullen (Eastern Michigan),3:57.34i (2),Notre Dame,4-Feb
206. Jason Pyrah (Mizuno),3:58.43i (2),Los Angeles,11-Feb
207. Brad Sumner (NYAC),3:59.11* (2),Philadelphia,29-Apr
208. Tom Nohilly (Reebok East),3:59.75* (4),Philadelphia,29-Apr
209. Gordon Johnson (Brooks),3:56.24* (9),Eugene,4-Jun
,,,
1996,,,
210. Matt Holthaus (Reebok East),3:58.80i (1),Allston,10-Feb
211. Michael Cox (Nike),3:59.20* (1),Lawrence,20-Apr
,,,
1997,,,
212. Dan Browne (Army),3:59.37i (1),Annapolis,1-Feb
213. Corey Ihmels (Iowa State),3:59.70i* (2h),Indianapolis,7-Mar
214. Alan Culpepper (adidas),3:58.15 (5),Portland,11-May
215. Richie Boulet (New Balance),3:58.62 (6),Portland,11-May
216. Karl Paranya (Haverford),3:57.6 (2),Haverford,14-May
